# Time(Gyr) Mg(Msol) Ms(Msol) SFR(Msol/yr) SSFR(/yr) Md(Msol) M_Z(Msol) Z, f_g 
5.35 16704451729.04 38190820176.05 4.67 1.22232506188e-10 484407769.85 635667866.33 0.0376627248418 0.30 
5.4 16578024504.88 38422504749.54 4.63 1.2059837067e-10 487351019.34 637341422.35 0.0380538000673 0.30 
5.45 16452526986.59 38652479383.67 4.60 1.18996058102e-10 490210101.50 638953538.79 0.0384449559815 0.30 
5.5 16327951907.52 38880757443.46 4.57 1.17424697871e-10 492986718.14 640505023.07 0.0388361945438 0.30 
5.55 16204292057.81 39107352189.48 4.53 1.15883450725e-10 495682526.63 641996673.40 0.0392275177377 0.29 
5.6 16081540283.94 39332276778.66 4.50 1.14371507371e-10 498299139.95 643429278.69 0.0396189275724 0.29 
5.65 15959689488.32 39555544265.07 4.47 1.12888087151e-10 500838127.24 644803618.82 0.0400104260742 0.29 
5.7 15838732628.82 39777167600.78 4.43 1.11432436785e-10 503301014.30 646120464.73 0.0404020152957 0.28 
5.75 15718662718.37 39997159636.60 4.40 1.10003829183e-10 505689257.96 647380519.76 0.0407936973163 0.28 
5.8 15599472824.50 40215533122.92 4.37 1.08601562311e-10 508004297.44 648584538.31 0.0411854705046 0.28 
5.85 15481156068.93 40432300710.44 4.34 1.07224958123e-10 510247531.53 649733266.01 0.0415773369783 0.28 
5.9 15363705627.12 40647474951.02 4.30 1.05873361548e-10 512420319.64 650827439.83 0.0419692988762 0.27 
5.95 15247114727.91 40861068298.38 4.27 1.04546139519e-10 514523982.92 651867788.19 0.0423613583613 0.27 
6.0 15131376653.03 41073093108.92 4.24 1.03242680057e-10 516559805.40 652855031.09 0.042753517621 0.27 
6.05 15016484736.73 41283561642.45 4.21 1.01962391402e-10 518529035.16 653789880.20 0.0431457788714 0.27 
6.1 14902432365.38 41492486062.97 4.18 1.00704701185e-10 520432885.56 654673038.94 0.0435381443568 0.26 
6.15 14789212977.01 41699878439.40 4.15 9.94690556352e-11 522272536.37 655505202.51 0.0439306163509 0.26 
